,Room,2,3,4,5,6,7
1,6A,,Hoa_Ho6,Sinh_Si6,CN_CN6,Dia_Di6,Van_Va6
2,6A,The_Th6,Hoa_Ho6,Toan_To6,Van_Va6,Ly_Ly6,Toan_To6
3,6A,Toan_To6,Ly_Ly6,The_Th6,Hoa_Ho6,Ly_Ly6,Toan_To6
4,6A,Anh_An6,Van_Va6,Anh_An6,Su_Su6,Sinh_Si6,GDCD_GD6
5,6A,Tin_Ti6,Van_Va6,,,Tin_Ti6,
1,6B,,Van_Va6,The_Th6,Toan_To6,Van_Va6,Toan_To6
2,6B,Sinh_Si6,Van_Va6,Hoa_Ho6,GDCD_GD6,Van_Va6,Ly_Ly6
3,6B,Tin_Ti6,Anh_An6,Hoa_Ho6,Sinh_Si6,Tin_Ti6,Hoa_Ho6
4,6B,Ly_Ly6,Toan_To6,Ly_Ly6,Dia_Di6,Anh_An6,The_Th6
5,6B,CN_CN6,Toan_To6,Su_Su6,,,
