,Room,2,3,4,5,6,7
1,8B,,Ly_Ly02,Hoa_Ho02,Tin_Ti02,Dia_Di01,Van_Va02
2,8B,Van_Va02,Ly_Ly02,CN_To02,Van_Va02,Anh_An02,Van_Va02
3,8B,Toan_To02,The_Th02,Su_Su01,GDCD_GD01,Hoa_Ho02,Toan_To02
4,8B,Toan_To02,Anh_An02,Toan_To02,The_Th02,Sinh_Si02,Tin_Ti02
5,8B,Hoa_Ho02,,Sinh_Si02,,Ly_Ly02,
