,Room,2,3,4,5,6,7
1,9C,,Toan_To03,The_Th03,GDCD_GD01,Tin_Ti03,Toan_To03
2,9C,Van_Va03,Toan_To03,Van_Va03,Hoa_Ho03,The_Th03,Toan_To03
3,9C,Van_Va03,Ly_Ly03,Tin_Ti03,Hoa_Ho03,CN_To03,Van_Va03
4,9C,Hoa_Ho03,Ly_Ly03,Dia_Di01,Sinh_Si03,Anh_An03,Ly_Ly03
5,9C,Anh_An03,Sinh_Si03,Su_Su01,,,
