,Room,2,3,4,5,6,7
1,8C,,Anh_An03,CN_To03,Toan_To03,Ly_Ly03,Su_Su01
2,8C,Ly_Ly03,Dia_Di01,Hoa_Ho03,Van_Va03,Sinh_Si03,Toan_To03
3,8C,Tin_Ti03,Van_Va03,Hoa_Ho03,Van_Va03,Hoa_Ho03,Anh_An03
4,8C,Toan_To03,The_Th03,Ly_Ly03,Tin_Ti03,GDCD_GD01,Van_Va03
5,8C,Toan_To03,,Sinh_Si03,,The_Th03,
