,Room,2,3,4,5,6,7
1,9B,,The_Th03,Anh_An03,CN_To03,The_Th03,Van_Va03
2,9B,Toan_To03,Sinh_Si03,Hoa_Ho03,Van_Va03,Sinh_Si03,Tin_Ti03
3,9B,Hoa_Ho03,Tin_Ti03,Toan_To03,Su_Su01,Anh_An03,Toan_To03
4,9B,Van_Va03,Dia_Di01,Toan_To03,GDCD_GD01,Ly_Ly03,Hoa_Ho03
5,9B,Van_Va03,,Ly_Ly03,,Ly_Ly03,
