,Room,2,3,4,5,6,7
1,7C,,Anh_An02,Su_Su01,The_Th02,Sinh_Si02,Hoa_Ho02
2,7C,Ly_Ly02,Tin_Ti02,GDCD_GD01,Van_Va02,Anh_An02,Hoa_Ho02
3,7C,Toan_To02,The_Th02,Sinh_Si02,Van_Va02,Toan_To02,Van_Va02
4,7C,Van_Va02,Dia_Di01,Ly_Ly02,Tin_Ti02,Toan_To02,Ly_Ly02
5,7C,Hoa_Ho02,CN_To02,Toan_To02,,,
