,Room,2,3,4,5,6,7
1,7B,,Sinh_Si02,Tin_Ti02,Sinh_Si02,GDCD_GD01,Toan_To02
2,7B,Toan_To02,Hoa_Ho02,CN_To02,Toan_To02,Van_Va02,Toan_To02
3,7B,Van_Va02,Hoa_Ho02,Anh_An02,Hoa_Ho02,Van_Va02,Ly_Ly02
4,7B,Ly_Ly02,The_Th02,Van_Va02,The_Th02,Dia_Di01,Su_Su01
5,7B,Tin_Ti02,,Ly_Ly02,,Anh_An02,
