,Room,2,3,4,5,6,7
1,6C,,Tin_Ti01,Dia_Di01,Toan_To01,Van_Va01,Hoa_Ho01
2,6C,CN_To01,Ly_Ly01,Van_Va01,Anh_An01,Ly_Ly01,Hoa_Ho01
3,6C,Hoa_Ho01,Ly_Ly01,Van_Va01,The_Th01,Sinh_Si01,Toan_To01
4,6C,Anh_An01,Toan_To01,GDCD_GD01,Tin_Ti01,Su_Su01,The_Th01
5,6C,Van_Va01,Toan_To01,Sinh_Si01,,,
