,Room,2,3,4,5,6,7
1,6B,,Van_Va01,CN_To01,Van_Va01,GDCD_GD01,Toan_To01
2,6B,Sinh_Si01,Van_Va01,Toan_To01,Tin_Ti01,Su_Su01,Ly_Ly01
3,6B,Ly_Ly01,Tin_Ti01,Toan_To01,Hoa_Ho01,Anh_An01,Sinh_Si01
4,6B,The_Th01,Hoa_Ho01,Anh_An01,Hoa_Ho01,Dia_Di01,Van_Va01
5,6B,Toan_To01,,Ly_Ly01,,The_Th01,
