,Room,2,3,4,5,6,7
1,7B,,Van_Va02,Toan_To02,Van_Va02,Sinh_Si02,The_Th02
2,7B,Toan_To02,Hoa_Ho02,Anh_An02,Van_Va02,Su_Su01,Van_Va02
3,7B,Toan_To02,Hoa_Ho02,Tin_Ti02,GDCD_GD01,Ly_Ly02,Toan_To02
4,7B,Tin_Ti02,Sinh_Si02,Ly_Ly02,CN_To02,Hoa_Ho02,Anh_An02
5,7B,Dia_Di01,The_Th02,Ly_Ly02,,,
