,Room,2,3,4,5,6,7
1,7C,,GDCD_GD01,Hoa_Ho02,Tin_Ti02,Dia_Di01,Van_Va02
2,7C,Ly_Ly02,Van_Va02,The_Th02,CN_To02,Hoa_Ho02,Ly_Ly02
3,7C,Hoa_Ho02,Van_Va02,Su_Su01,Van_Va02,Anh_An02,Ly_Ly02
4,7C,Toan_To02,Tin_Ti02,Toan_To02,Sinh_Si02,The_Th02,Sinh_Si02
5,7C,Anh_An02,,Toan_To02,,Toan_To02,
