,Room,2,3,4,5,6,7
1,8B,,Toan_To02,Van_Va02,CN_To02,GDCD_GD01,Hoa_Ho02
2,8B,Van_Va02,Toan_To02,Dia_Di01,Tin_Ti02,Toan_To02,Anh_An02
3,8B,Tin_Ti02,Su_Su01,Ly_Ly02,Hoa_Ho02,Toan_To02,Van_Va02
4,8B,Anh_An02,The_Th02,Sinh_Si02,The_Th02,Ly_Ly02,Van_Va02
5,8B,Sinh_Si02,Hoa_Ho02,,,Ly_Ly02,
