,Room,2,3,4,5,6,7
1,6B,,Van_Va01,Sinh_Si01,Van_Va01,Anh_An01,Van_Va01
2,6B,Hoa_Ho01,Su_Su01,Hoa_Ho01,Van_Va01,Sinh_Si01,Ly_Ly01
3,6B,Ly_Ly01,Toan_To01,The_Th01,Toan_To01,Hoa_Ho01,Toan_To01
4,6B,Anh_An01,Dia_Di01,Tin_Ti01,Toan_To01,Tin_Ti01,The_Th01
5,6B,CN_To01,,Ly_Ly01,,GDCD_GD01,
