,Room,2,3,4,5,6,7
1,8C,,CN_To03,Anh_An03,Su_Su01,Ly_Ly03,Toan_To03
2,8C,Van_Va03,The_Th03,Toan_To03,Hoa_Ho03,Van_Va03,Toan_To03
3,8C,Toan_To03,Sinh_Si03,Van_Va03,Tin_Ti03,Anh_An03,Tin_Ti03
4,8C,Hoa_Ho03,Ly_Ly03,Van_Va03,Sinh_Si03,GDCD_GD01,Dia_Di01
5,8C,Hoa_Ho03,Ly_Ly03,,,The_Th03,
