,2,3,4,5,6,7
1,,Tin_T09,Toan_T12,Su_T06,Hoa_T02,Van_T03
2,Van_T03,Sinh_T05,Toan_T12,GDCD_T08,Toan_T12,Sinh_T05
3,Van_T03,The_T11,Van_T03,Anh_T04,Toan_T12,Ly_T01
4,Ly_T01,CN_T12,Hoa_T02,Ly_T01,Dia_T07,Tin_T09
5,Anh_T04,,Hoa_T02,,The_T11,
