,2,3,4,5,6,7
1,,Sinh_T05,Van_T03,CN_T10,Sinh_T05,Toan_T00
2,Dia_T07,Anh_T04,Ly_T01,Anh_T04,Van_T03,The_T11
3,Toan_T00,Tin_T00,Ly_T01,The_T11,Van_T03,Tin_T00
4,Van_T03,Hoa_T02,Toan_T00,Hoa_T02,GDCD_T08,Su_T06
5,Ly_T01,Hoa_T02,Toan_T00,,,
