,Room,2,3,4,5,6,7
1,6A,,Hoa_T02,Toan_T00,The_T11,Hoa_T02,Sinh_T05
2,6A,Anh_T04,Hoa_T02,Toan_T00,Van_T03,CN_T10,The_T11
3,6A,Ly_T01,Tin_T00,Sinh_T05,Anh_T04,Toan_T00,Tin_T00
4,6A,Toan_T00,Van_T03,Dia_T07,GDCD_T08,Ly_T01,Van_T03
5,6A,Su_T06,Van_T03,,,Ly_T01,
1,6B,,Toan_T12,Ly_T01,Tin_T09,Dia_T07,Ly_T01
2,6B,Ly_T01,Toan_T12,GDCD_T08,Hoa_T02,Su_T06,Tin_T09
3,6B,Van_T03,CN_T12,Van_T03,Toan_T12,Sinh_T05,Anh_T04
4,6B,The_T11,Hoa_T02,Van_T03,Anh_T04,Van_T03,Toan_T12
5,6B,Sinh_T05,Hoa_T02,The_T11,,,
