,Room,2,3,4,5,6,7
1,6B,,Su_Su01,Hoa_Ho01,GDCD_GD01,Van_Va01,Hoa_Ho01
2,6B,Ly_Ly01,Toan_To01,Anh_An01,CN_To01,Van_Va01,Hoa_Ho01
3,6B,Anh_An01,Toan_To01,The_Th01,Ly_Ly01,Toan_To01,The_Th01
4,6B,Van_Va01,Sinh_Si01,Van_Va01,Sinh_Si01,Toan_To01,Ly_Ly01
5,6B,Dia_Di01,,Tin_Ti01,,Tin_Ti01,
