,Room,2,3,4,5,6,7
1,6C,,The_Th01,Tin_Ti01,Su_Su01,Anh_An01,Ly_Ly01
2,6C,Anh_An01,Van_Va01,Toan_To01,Dia_Di01,Toan_To01,Ly_Ly01
3,6C,Hoa_Ho01,Van_Va01,CN_To01,Hoa_Ho01,Sinh_Si01,Hoa_Ho01
4,6C,Toan_To01,Ly_Ly01,Sinh_Si01,Van_Va01,Tin_Ti01,Van_Va01
5,6C,Toan_To01,GDCD_GD01,,,The_Th01,
